대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
서울특별시 송파구 마천동 87-11번지,11710,11400,0,0087,0011,1025120135,2,집합,3,표제부,서울특별시 송파구 마천로51가길 43-8 (마천동),,,,,0,117104169111,11401,0,43,8,,0,주건축물,0,0,0,249,0,0,11,벽돌구조,연와조,02000,공동주택,다세대주택(6가구),10,(철근)콘크리트,평스라브,6,0,0,2,1,0,0,0,0,249,0,0,0,0,0,0,0,0,19900601,        ,19901218,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-14번지,11710,11400,0,0087,0014,1025114523,2,집합,3,표제부,서울특별시 송파구 마천로51가길 43-10 (마천동),,,,,0,117104169111,11401,0,43,10,,0,주건축물,0,0,0,137.34,0,0,11,벽돌구조,연와조,02000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,3,0,0,2,1,0,0,0,0,137.34,0,0,0,0,0,0,0,0,19860508,19871012,19871012,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-17번지,11710,11400,0,0087,0017,1025111804,1,일반,2,일반건축물,서울특별시 송파구 마천로51가길 43-6 (마천동),,,,,0,117104169111,11401,0,43,6,,0,주건축물,180,89.89,49.93,463.19,0,194,21,철근콘크리트구조,"철근콘크리트조,",03000,제1종근린생활시설,"근린생활시설,",10,(철근)콘크리트,평스라브,0,1,12.5,4,1,0,0,0,0,463.19,0,0,0,0,0,0,3,41.25,19900811,19900920,19911212,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-19번지,11710,11400,0,0087,0019,10251100476162,2,집합,3,표제부,서울특별시 송파구 마천로51가길 43-5 (마천동),현대아트빌,,,,0,117104169111,11401,0,43,5,현대아트빌,0,주건축물,198,116.86,59.02,394.82,394.82,199.4,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10,(철근)콘크리트,평스라브,8,0,13.5,5,0,1,0,0,0,394.82,0,0,0,0,3,34.5,3,72.92,20141208,20150806,20160127,2014,3230165,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,1,
서울특별시 송파구 마천동 87-20번지,11710,11400,0,0087,0020,10251100479038,2,집합,3,표제부,서울특별시 송파구 마천로51가길 43-3 (마천동),,,,,0,117104169111,11401,0,43,3,,0,주건축물,198,116.66,58.92,386.49,386.49,195.2,21,철근콘크리트구조,철근콘크리트구조,02000,공동주택,다세대주택,10,(철근)콘크리트,평지붕,7,0,15,5,0,0,0,0,0,386.49,0,0,0,0,6,90.37,0,0,20150826,20150831,20160330,2015,3230165,건축과,1101,신축허가,0,,0,0,,0,,0,20220813,1,
서울특별시 송파구 마천동 87-23번지,11710,11400,0,0087,0023,1025124998,1,일반,2,일반건축물,서울특별시 송파구 거마로24길 17-5 (마천동),,,,,0,117104169043,11401,0,17,5,,0,주건축물,327.7,0,0,246,0,0,11,벽돌구조,연와조,01000,단독주택,다가구주택,10,(철근)콘크리트,평스라브,0,6,0,2,1,0,0,0,0,246,0,0,0,0,0,0,0,0,19830326,        ,19830928,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-27번지,11710,11400,0,0087,0027,1025113368,2,집합,3,표제부,서울특별시 송파구 마천로51가길 47 (마천동),,,,,0,117104169111,11401,0,47,,,0,주건축물,0,0,0,246.27,0,0,11,벽돌구조,연와조,02000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,6,0,0,2,1,0,0,0,0,246.27,0,0,0,0,0,0,0,0,19860306,19860731,19860731,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 87-28번지,11710,11400,0,0087,0028,102518889,2,집합,3,표제부,서울특별시 송파구 마천로51가길 45 (마천동),,,,,0,117104169111,11401,0,45,,,0,주건축물,0,0,0,173.04,0,0,11,벽돌구조,연와조,02000,공동주택,다세대주택,10,(철근)콘크리트,스라브위기와,3,0,0,2,1,0,0,0,0,173.04,0,0,0,0,0,0,0,0,19860306,19860731,19860731,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-1번지,11710,11400,0,0088,0001,102515445,1,일반,2,일반건축물,서울특별시 송파구 마천로39길 35-1 (마천동),,,,,0,117104169100,11401,0,35,1,,0,주건축물,0,0,0,126.76,0,0,11,벽돌구조,연와조,01000,단독주택,"단독주택, 근린생활시설",10,(철근)콘크리트,경사스라브위기와,0,1,0,2,1,0,0,0,0,126.76,0,0,0,0,0,0,0,0,19840526,        ,19850319,,,,,,0,,0,0,,0,,0,20220813,0,
서울특별시 송파구 마천동 88-2번지,11710,11400,0,0088,0002,1025121403,1,일반,2,일반건축물,서울특별시 송파구 마천로39길 35 (마천동),,,,,0,117104169100,11401,0,35,,,0,주건축물,230,135.78,59.03,493.89,0,159.78,21,철근콘크리트구조,철근콘크리트조,01000,단독주택,다가구주택,10,(철근)콘크리트,평스라브,0,6,10.2,3,1,0,0,0,0,493.89,0,0,0,0,0,0,4,43,19970117,19970414,19970730,,,,,,0,,0,0,,0,,0,20250908,0,
